Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Center for Applied Computer Research, Las Promesas, Mexico, Site plan",Emilio Ambasz,141,"(Argentine, born 1943)",(Argentine),(1943),(0),(Male),1975,Ink and photostat on acetate,"37 1/2 x 37 5/8"" (95.3 x 95.6 cm)",Gift of the architect,131.1992,Architecture,Architecture & Design,1992-01-15,Y,219,http://www.moma.org/collection/works/219,http://www.moma.org/media/W1siZiIsIjUyNzM5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e122581d3f58ba0c,,,,95.3,,,95.6,,
"Worldbridge Trade and Investment Center project, Baltimore, Maryland (Section, site plan)",Emilio Ambasz,141,"(Argentine, born 1943)",(Argentine),(1943),(0),(Male),1992,"Airbrush, watercolor and color pencil","24 x 31"" (61 x 78.7 cm)",Gift of the architect in honor of Philip Johnson,344.1996,Architecture,Architecture & Design,1996-09-25,Y,336,http://www.moma.org/collection/works/336,,,,,61.0,,,78.7,,
"Worldbridge Trade and Investment Center, project, Baltimore, Maryland, Site plan",Emilio Ambasz,141,"(Argentine, born 1943)",(Argentine),(1943),(0),(Male),1992,"Airbrush, watercolor, and color pencil on paper","24 x 31"" (61 x 78.7 cm)
",Gift of the architect in honor of Philip Johnson,345.1996,Architecture,Architecture & Design,1996-09-25,Y,337,http://www.moma.org/collection/works/337,http://www.moma.org/media/W1siZiIsIjUyNzU1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=34a63d32a98c1eac,,,,72.7,,,91.1,,
"Casa de Retiro Espiritual, Córdoba, Spain, Aerial axonometric",Emilio Ambasz,141,"(Argentine, born 1943)",(Argentine),(1943),(0),(Male),1979,Airbrush and graphite on gelatin silver photograph mounted on foamcore,"30 5/8 x 25 15/16"" (77.8 x 65.9 cm)",Gift of the architect in honor of Lily Auchincloss,370.1994,Architecture,Architecture & Design,1994-09-21,Y,415,http://www.moma.org/collection/works/415,http://www.moma.org/media/W1siZiIsIjUyNzYwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=90635fc36ee954df,,,,77.8,,,65.9,,
"Casa de Retiro Espiritual, Córdoba, Spain (Axonometric)",Emilio Ambasz,141,"(Argentine, born 1943)",(Argentine),(1943),(0),(Male),1979,Airbrush and graphite on paper mounted on foamcore,"24 x 25 1/2"" (61x  64.8 cm)",Gift of the architect in honor of Lily Auchincloss,371.1994,Architecture,Architecture & Design,1994-09-21,Y,418,http://www.moma.org/collection/works/418,,,,,61.0,,,64.8,,
"Casa de Retiro Espiritual, Córdoba, Spain (Section)",Emilio Ambasz,141,"(Argentine, born 1943)",(Argentine),(1943),(0),(Male),1979,"Airbrush, graphite on paper mounted on foamcore","24 x 25 1/2"" (61 x 64.8 cm)",Gift of the architect in honor of Lily Auchincloss,372.1994,Architecture,Architecture & Design,1994-09-21,Y,422,http://www.moma.org/collection/works/422,,,,,61.0,,,64.8,,
"Pro Memoria Garden, project for a Labyrinth, Lüdenhausen, Germany, Aerial perspective",Emilio Ambasz,141,"(Argentine, born 1943)",(Argentine),(1943),(0),(Male),1978,"Color pencil, color ink, and graphite on paper","19 5/8 x 58 5/8"" (49.8 x 148.9 cm)",Gift of Pierre Apraxine,440.1997,Architecture,Architecture & Design,1997-10-17,Y,646,http://www.moma.org/collection/works/646,http://www.moma.org/media/W1siZiIsIjIxMTM1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1d8ad9dcd26d1b49,,,,49.8476,,,148.9078,,
"Pro Memoria Garden, project for a Labyrinth, Lüdenhausen, Germany, Aerial perspective",Emilio Ambasz,141,"(Argentine, born 1943)",(Argentine),(1943),(0),(Male),1978,Color pencil and ink on off-white heavy paper,"18 1/2 x 61 3/8"" (47 x 155.9 cm)",Gift of Pierre Apraxine,441.1997,Architecture,Architecture & Design,1997-10-17,Y,647,http://www.moma.org/collection/works/647,http://www.moma.org/media/W1siZiIsIjUyNzY4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=756d17baf46d86d1,,,,46.9901,,,155.8928,,
"Pro Memoria Garden, project for a Labyrinth, Lüdenhausen, Germany, Axonometric",Emilio Ambasz,141,"(Argentine, born 1943)",(Argentine),(1943),(0),(Male),1978,Color pencil and ink on off-white heavy paper,"27 1/2 x 66 7/16"" (69.9 x 168.8 cm)",Gift of Pierre Apraxine,442.1997,Architecture,Architecture & Design,1997-10-17,Y,648,http://www.moma.org/collection/works/648,http://www.moma.org/media/W1siZiIsIjIxMTM2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=16fcd0de9f60cb32,,,,69.8501,,,168.7516,,
"Center for Applied Computer Research, Las Promesas, Mexico, Axonometric",Emilio Ambasz,141,"(Argentine, born 1943)",(Argentine),(1943),(0),(Male),1975,"Ink, felt-tipped pen, and photostat on acetate","37 1/2 x 38 1/4"" (95.3 x 97.2 cm)",Gift of the architect,478.1990,Architecture,Architecture & Design,1990-10-24,Y,672,http://www.moma.org/collection/works/672,http://www.moma.org/media/W1siZiIsIjUyNzE2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8f4f867722fd314c,,2.0,,2.0,,,2.0,,
