Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Arcadia Peninsula Housing, project, Revised version: exterior elevation",Peter Cook,6950,"(British, born 1936)",(British),(1936),(0),(Male),1979,Ink and gouache on paper,"11 x 34 1/4"" (27.9 x 87 cm)",Gift of Kenneth Walker,106.1992,Architecture,Architecture & Design,1992-01-15,Y,200,http://www.moma.org/collection/works/200,http://www.moma.org/media/W1siZiIsIjUyNzAzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f746724deb59b199,,,,27.9,,,87.0,,
"The Peak Project, Hong Kong, China (Exterior perspective)",Zaha Hadid,6953,"(British, born Iraq. 1950–2016)",(British),(1950),(2016),(Female),1991,Synthetic polymer on paper mounted on canvas,"51 x 72"" (129.5 x 182.9 cm)","David Rockefeller, Jr. Fund",108.1992,Architecture,Architecture & Design,1992-01-15,Y,202,http://www.moma.org/collection/works/202,http://www.moma.org/media/W1siZiIsIjUyNzA0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fd79da2eabe33037,,,,129.5403,,,182.8804,,
"Egg of Columbus Circle project, New York, New York (Axonometric)","Rem Koolhaas, Zoe Zenghelis, Elia Zenghelis, Madelon Vriesendorp","6956, 7559, 7558, 6957","(Dutch, born 1944) (British, born Greece 1937) (British, born Greece 1937) (Dutch, born 1945)",(Dutch) (British) (British) (Dutch),(1944) (1937) (1937) (1945),(0) (0) (0) (0),(Male) (Female) (Male) (Female),1975,Ink and acrylic on paper,"44 1/2 x 27"" (113 x 68.6 cm)",Gift of Kenneth Walker,110.1992,Architecture,Architecture & Design,1992-01-15,Y,204,http://www.moma.org/collection/works/204,http://www.moma.org/media/W1siZiIsIjUyNzA0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5d08bbc17be6ef77,,,,113.0,,,68.6,,
"Egg of Columbus Circle project, New York, New York (Axonometric)","Rem Koolhaas, Zoe Zenghelis, Elia Zenghelis, Madelon Vriesendorp","6956, 7559, 7558, 6957","(Dutch, born 1944) (British, born Greece 1937) (British, born Greece 1937) (Dutch, born 1945)",(Dutch) (British) (British) (Dutch),(1944) (1937) (1937) (1945),(0) (0) (0) (0),(Male) (Female) (Male) (Female),1975,Ink and acrylic on paper,"44 1/2 x 27"" (113 x 68.6 cm)",Gift of Kenneth Walker,110.1992,Architecture,Architecture & Design,1992-01-15,Y,204,http://www.moma.org/collection/works/204,http://www.moma.org/media/W1siZiIsIjUyNzA0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5d08bbc17be6ef77,,,,113.0,,,68.6,,
"Boompjes Tower Slab, project, Rotterdam, The Netherlands, Perspective","Rem Koolhaas, Elia Zenghelis, Zoe Zenghelis, Madelon Vriesendorp","6956, 7558, 7559, 6957","(Dutch, born 1944) (British, born Greece 1937) (British, born Greece 1937) (Dutch, born 1945)",(Dutch) (British) (British) (Dutch),(1944) (1937) (1937) (1945),(0) (0) (0) (0),(Male) (Male) (Female) (Female),1981,Watercolor and ink on paper,"25 x 35"" (63.5 x 88.9 cm)
",Andrew Cogan Purchase Fund,273.1999,Architecture,Architecture & Design,1999-06-30,Y,300,http://www.moma.org/collection/works/300,http://www.moma.org/media/W1siZiIsIjUyODUzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6dd18080bd36d9c5,,,,63.5001,,,88.9002,,
"Boompjes Tower Slab, project, Rotterdam, The Netherlands, Perspective","Rem Koolhaas, Elia Zenghelis, Zoe Zenghelis, Madelon Vriesendorp","6956, 7558, 7559, 6957","(Dutch, born 1944) (British, born Greece 1937) (British, born Greece 1937) (Dutch, born 1945)",(Dutch) (British) (British) (Dutch),(1944) (1937) (1937) (1945),(0) (0) (0) (0),(Male) (Male) (Female) (Female),1981,Watercolor and ink on paper,"25 x 35"" (63.5 x 88.9 cm)
",Andrew Cogan Purchase Fund,273.1999,Architecture,Architecture & Design,1999-06-30,Y,300,http://www.moma.org/collection/works/300,http://www.moma.org/media/W1siZiIsIjUyODUzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6dd18080bd36d9c5,,,,63.5001,,,88.9002,,
"Hong Kong and Shanghai Bank, Hong Kong, China, Axonometric and elevation",Norman Foster,7569,"(British, born 1935)",(British),(1935),(0),(Male),1985,Ink and color ink on tracing paper,"16 1/2 x 11 11/16"" (41.9 x 29.7 cm)",Gift of the architect in honor of Philip Johnson,356.1996.1,Architecture,Architecture & Design,1996-09-25,N,360,,,,,,41.9101,,,29.6863,,
"Hong Kong and Shanghai Bank, Hong Kong, China, .1 Axonometric and elevation, .2 Elevation and exterior perspective,",Norman Foster,7569,"(British, born 1935)",(British),(1935),(0),(Male),1985,Ink and color ink on tracing paper,".1: 16 1/2 x 11 5/8"" (41.9 x 29.5 cm)
.2: 16 1/2 x 11 5/8"" (41.9 x 29.5 cm)",Gift of the architect in honor of Philip Johnson,356.1996.1-2,Architecture,Architecture & Design,1996-09-25,Y,361,http://www.moma.org/collection/works/361,http://www.moma.org/media/W1siZiIsIjUyNzU3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fb54da7e39cac8e7,,,,41.9101,,,29.5276,,
"Hong Kong and Shanghai Bank, Hong Kong, China, Elevation and exterior perspective",Norman Foster,7569,"(British, born 1935)",(British),(1935),(0),(Male),1985,Ink and color ink on tracing paper,"16 1/2 x 11 11/16"" (41.9 x 29.7 cm)",Gift of the architect in honor of Philip Johnson,356.1996.2,Architecture,Architecture & Design,1996-09-25,N,362,,,,,,41.9101,,,29.6863,,
"Parc de la Villette Project, Paris, France (Plot breakdown)",Zaha Hadid,6953,"(British, born Iraq. 1950–2016)",(British),(1950),(2016),(Female),1982-83,Colored pencil on tracing paper,"11 3/4 x 16 1/2"" (29.8 x 41.9 cm)",Gift of the architect in honor of Philip Johnson,357.1996.1,Architecture,Architecture & Design,1996-09-25,Y,363,http://www.moma.org/collection/works/363,http://www.moma.org/media/W1siZiIsIjUyNzU3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f48b56648c931a52,,,,29.8451,,,41.9101,,
