Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Regional Administrative Center, project ""Trieste e una Donna."" , Trieste, Italy, Competition design: Elevation and section","Aldo Rossi, Gianni Braghieri, M. Bosshard","7661, 8131, 8180","(Italian, 1931–1997) (Italian, born 1945) (Italian)",(Italian) (Italian) (Italian),(1931) (1945) (0),(1997) (0) (0),(Male) (Male) (Male),1974,Rubbed ink and pastel on whiteprint,"28 1/2 x 36"" (72.4 x 91.4 cm)",Philip Johnson Fund,28.1980,Architecture,Architecture & Design,1980-01-08,Y,100,http://www.moma.org/collection/works/100,http://www.moma.org/media/W1siZiIsIjUyMDkwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7cf3c952aab47150,,,,72.4,,,91.4,,
"Regional Administrative Center, project ""Trieste e una Donna."" , Trieste, Italy, Competition design: Elevation and section","Aldo Rossi, Gianni Braghieri, M. Bosshard","7661, 8131, 8180","(Italian, 1931–1997) (Italian, born 1945) (Italian)",(Italian) (Italian) (Italian),(1931) (1945) (0),(1997) (0) (0),(Male) (Male) (Male),1974,Rubbed ink and pastel on whiteprint,"28 1/2 x 36"" (72.4 x 91.4 cm)",Philip Johnson Fund,28.1980,Architecture,Architecture & Design,1980-01-08,Y,100,http://www.moma.org/collection/works/100,http://www.moma.org/media/W1siZiIsIjUyMDkwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7cf3c952aab47150,,,,72.4,,,91.4,,
"Regional Administrative Center, project ""Trieste e una Donna."" , Trieste, Italy, Competition design: Elevation and section","Aldo Rossi, Gianni Braghieri, M. Bosshard","7661, 8131, 8180","(Italian, 1931–1997) (Italian, born 1945) (Italian)",(Italian) (Italian) (Italian),(1931) (1945) (0),(1997) (0) (0),(Male) (Male) (Male),1974,Rubbed ink and pastel on whiteprint,"28 1/2 x 36"" (72.4 x 91.4 cm)",Philip Johnson Fund,28.1980,Architecture,Architecture & Design,1980-01-08,Y,100,http://www.moma.org/collection/works/100,http://www.moma.org/media/W1siZiIsIjUyMDkwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7cf3c952aab47150,,,,72.4,,,91.4,,
"Exhibition ""Mario Bellini: Designer."", The Museum of Modern Art, New York, 1987, Installation plan",Mario Bellini,451,"(Italian, born 1935)",(Italian),(1935),(0),(Male),1987,Crayon and cut and pasted photocopies on transparent overlay on print,"19 1/2 x 30 1/2"" (49.5 x 77.5 cm)",Gift of the designer,119.1988,Architecture,Architecture & Design,1988-04-27,Y,209,http://www.moma.org/collection/works/209,http://www.moma.org/media/W1siZiIsIjUyNzA0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5bd846f6cee6409a,,,,49.5,,,77.5,,
Project for a Piece of Furniture,Alessandro Mendini,3925,"(Italian, born 1931)",(Italian),(1931),(0),(Male),1974,Color pencil on board,"20 x 14 1/4"" (50.8 x 36.2 cm)",Zaidee Dufallo Fund and Greta Daniel Fund,241.1975.1-3,Architecture,Architecture & Design,1975-03-31,Y,283,http://www.moma.org/collection/works/283,http://www.moma.org/media/W1siZiIsIjUyMDE2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=99482a5c926e2bd0,,,,50.8,,,36.2,,
"Urban Architecture, project, Perspective",Aldo Rossi,7661,"(Italian, 1931–1997)",(Italian),(1931),(1997),(Male),1976,"Oil pastel, ballpoint pen, ink, and felt-tip marker on paper with tape","14 1/8 x 10 1/8"" (35.9 x 25.7 cm)",Barbara Jakobson Purchase Fund,274.1999,Architecture,Architecture & Design,1999-06-30,Y,301,http://www.moma.org/collection/works/301,http://www.moma.org/media/W1siZiIsIjUyODUzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=94e285a635f17d9e,,,,35.9,,,25.7,,
"American Gas Station Project, Ithaca, New York, Perspective",Massimo Scolari,8125,"(Italian, born 1943)",(Italian),(1943),(0),(Male),1975,Etching,"12 1/2 x 10 1/16"" (31.8 x 25.6 cm)",Robert K. and Barbara J. Straus Family Foundation,277.1999,Architecture,Architecture & Design,1999-06-30,Y,304,http://www.moma.org/collection/works/304,http://www.moma.org/media/W1siZiIsIjUyODU0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1f8d360b7dc97cda,,,,31.7501,,,25.5588,,
"Palace of Italian Civilization, Rome, Italy, Exterior perspective, preliminary version, Il Palazzo della Civiltà Italiana, Cité EUR, Rome, Italy, Preliminary version: perspective","Ernesto Bruno La Padula, Giovanni Guerrini, Mario Romano","3381, 8157, 8158","(Italian, 1902–1968) (Italian, 1887–1972) (Italian)",(Italian) (Italian) (Italian),(1902) (1887) (0),(1968) (1972) (0),(Male) (Male) (Male),1939,Tempera on wood,"35 7/16 x 35 3/8"" (90 x 89.9 cm)",Purchase,309.1984,Architecture,Architecture & Design,1984-10-30,Y,320,http://www.moma.org/collection/works/320,,,,,90.0,,,89.9,,
"Palace of Italian Civilization, Rome, Italy, Exterior perspective, preliminary version, Il Palazzo della Civiltà Italiana, Cité EUR, Rome, Italy, Preliminary version: perspective","Ernesto Bruno La Padula, Giovanni Guerrini, Mario Romano","3381, 8157, 8158","(Italian, 1902–1968) (Italian, 1887–1972) (Italian)",(Italian) (Italian) (Italian),(1902) (1887) (0),(1968) (1972) (0),(Male) (Male) (Male),1939,Tempera on wood,"35 7/16 x 35 3/8"" (90 x 89.9 cm)",Purchase,309.1984,Architecture,Architecture & Design,1984-10-30,Y,320,http://www.moma.org/collection/works/320,,,,,90.0,,,89.9,,
"Palace of Italian Civilization, Rome, Italy, Exterior perspective, preliminary version, Il Palazzo della Civiltà Italiana, Cité EUR, Rome, Italy, Preliminary version: perspective","Ernesto Bruno La Padula, Giovanni Guerrini, Mario Romano","3381, 8157, 8158","(Italian, 1902–1968) (Italian, 1887–1972) (Italian)",(Italian) (Italian) (Italian),(1902) (1887) (0),(1968) (1972) (0),(Male) (Male) (Male),1939,Tempera on wood,"35 7/16 x 35 3/8"" (90 x 89.9 cm)",Purchase,309.1984,Architecture,Architecture & Design,1984-10-30,Y,320,http://www.moma.org/collection/works/320,,,,,90.0,,,89.9,,
