Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Study for an Office Building, project, Tokyo, Japan, Exterior perspective",Fumihiko Maki,6954,"(Japanese, born 1928)",(Japanese),(1928),(0),(Male),1980,Ink and graphite on graph paper,"8 x 5 3/4"" (20.3 x 14.6 cm)",Gift of Kenneth Walker,109.1992,Architecture,Architecture & Design,1992-01-15,Y,203,http://www.moma.org/collection/works/203,http://www.moma.org/media/W1siZiIsIjUyNzA0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=74acd9d6ec201567,,,,20.3,,,14.6,,
"Church on the Water, Tomamu, Hokkaido, Japan (Elevation and plan)",Tadao Ando,7055,"(Japanese, born 1941)",(Japanese),(1941),(0),(Male),1985–1988,"Crayon, graphite, color pencil","41 3/8 x 157 5/8"" (105.1 x 400.4 cm)",Gift of the architect,137.1993,Architecture,Architecture & Design,1993-05-04,Y,221,http://www.moma.org/collection/works/221,,,,,105.0927,,,400.3683,,
"Church on the Water, Tomamu, Hokkaido, Japan, Plan and sketch",Tadao Ando,7055,"(Japanese, born 1941)",(Japanese),(1941),(0),(Male),1985–1988,Crayon on mulberry paper,"12 1/8 x 17 1/2"" (30.8 x 44.5 cm)",Gift of the architect,138.1993,Architecture,Architecture & Design,1993-05-04,Y,222,http://www.moma.org/collection/works/222,http://www.moma.org/media/W1siZiIsIjUyNzQwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ddc6d7b5158590e0,,,,30.8,,,44.5,,
"Church on the Water, Tomamu, Hokkaido, Japan, Elevation and plan, sketch",Tadao Ando,7055,"(Japanese, born 1941)",(Japanese),(1941),(0),(Male),1985–1988,Crayon and ink on paper,"12 x 12 3/4"" (30.5 x 32.4 cm)",Gift of the architect,139.1993,Architecture,Architecture & Design,1993-05-04,Y,223,http://www.moma.org/collection/works/223,http://www.moma.org/media/W1siZiIsIjUyNzQwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6aac36b5c2970fa4,,,,30.4801,,,32.3851,,
"Chikatsu-Asuka Historical Museum, Minami-Kawachi, Osaka, Japan, Exterior perspective",Tadao Ando,7055,"(Japanese, born 1941)",(Japanese),(1941),(0),(Male),c. 1989-91,Graphite and crayon with scoring on paper,"11 5/8 x 33 1/8"" (29.5 x 84.1 cm)",Gift of the architect,140.1993,Architecture,Architecture & Design,1993-05-04,Y,224,http://www.moma.org/collection/works/224,http://www.moma.org/media/W1siZiIsIjUyNzQwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e8c1f2848f3ab77d,,,,29.5,,,84.1,,
"Nara Convention Hall, Nara, Japan, Exterior perspective",Arata Isozaki,2837,"(Japanese, born 1931)",(Japanese),(1931),(0),(Male),1992,Computer-generated print,"21 x 23"" (53.3 x 58.4 cm)",Gift of the architect,142.1993,Architecture,Architecture & Design,1993-05-04,Y,225,http://www.moma.org/collection/works/225,http://www.moma.org/media/W1siZiIsIjUyNzQwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fe68b2f99701063c,,,,62.2,,,102.2,,
"Nara Convention Hall, Nara, Japan, South elevation",Arata Isozaki,2837,"(Japanese, born 1931)",(Japanese),(1931),(0),(Male),1992,Computer-generated print,"21 5/8 x 37 3/8"" (54.9 x 94.9 cm)",Gift of the architect,143.1993,Architecture,Architecture & Design,1993-05-04,Y,226,http://www.moma.org/collection/works/226,http://www.moma.org/media/W1siZiIsIjUyNzQxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b0f13a006d703b92,,,,54.9276,,,94.9327,,
"Nara Convention Hall, Nara, Japan, Interior perpsective of lobby",Arata Isozaki,2837,"(Japanese, born 1931)",(Japanese),(1931),(0),(Male),1992,Computer-generated print,"21 1/2 x 32 7/8"" (54.6 x 83.5 cm)",Gift of the architect,144.1993,Architecture,Architecture & Design,1993-05-04,Y,227,http://www.moma.org/collection/works/227,http://www.moma.org/media/W1siZiIsIjUyNzQxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8ef22c8b79ad3f76,,,,62.2,,,102.2,,
"Nara Convention Hall, Nara, Japan, Interior perspective of main hall",Arata Isozaki,2837,"(Japanese, born 1931)",(Japanese),(1931),(0),(Male),1992,Computer-generated print,"21 1/2 x 32 3/4"" (54.6 x 83.2 cm)",Gift of the architect,145.1993,Architecture,Architecture & Design,1993-05-04,Y,228,http://www.moma.org/collection/works/228,http://www.moma.org/media/W1siZiIsIjUyNzQxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=df3c541065355940,,,,65.0,,,105.0,,
"Nara Convention Hall, Nara, Japan, West elevation",Arata Isozaki,2837,"(Japanese, born 1931)",(Japanese),(1931),(0),(Male),1992,Computer-generated print,"21 1/2 x 37 3/8"" (54.6 x 94.9 cm)",Gift of the architect,146.1993,Architecture,Architecture & Design,1993-05-04,Y,229,http://www.moma.org/collection/works/229,http://www.moma.org/media/W1siZiIsIjUyNzQxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cda5e800c0e59d6a,,,,65.1,,,105.1,,
