Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Arkhitekturnye Fantazii,Iakov Chernikhov,1093,"(Russian, born Ukraine. 1889–1951)",(Russian),(1889),(1951),(Male),before 1933,Letterpress,"12 x 8 7/8"" (30.5 x 22.5 cm)",Arthur A. Cohen Purchase Fund,394.1985,Architecture,Architecture & Design,1985-11-18,Y,515,http://www.moma.org/collection/works/515,http://www.moma.org/media/W1siZiIsIjUyNDA4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d20a11b394c0b698,,,,30.5,,,22.5,,
Teapot,Nikolai Suetin,5718,"(Russian, 1897–1954)",(Russian),(1897),(1954),(Male),c. 1923,Porcelain with overglaze painted decoration,"5 1/2 x 4 1/2"" (14 x 11.4 cm)",Estée and Joseph Lauder Design Fund,14.1980.a-b,Design,Architecture & Design,1980-01-08,Y,1509,http://www.moma.org/collection/works/1509,http://www.moma.org/media/W1siZiIsIjIyNjQ4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=602177509612e423,,,11.43,14.0,,,,,
Christmas Ornament,Aleksandr Rodchenko,4975,"(Russian, 1891–1956)",(Russian),(1891),(1956),(Male),1936–1937,Paper and printed paper,"2 1/2 x 11 1/2"" (6.3 x 29.2cm)",Gift of Varvara Rodchenko and Aleksandr Laverent'ev,305.1998,Design,Architecture & Design,1998-04-22,Y,3247,http://www.moma.org/collection/works/3247,,,,,6.3,,,29.2,,
Saucer,Nikolai Suetin,5718,"(Russian, 1897–1954)",(Russian),(1897),(1954),(Male),1923,Porcelain with overglaze painted decoration,"15/16 x 5 7/8"" (2.4 x 14.9 cm)",Gift of Alfred H. Barr,366.1982,Design,Architecture & Design,1982-10-27,Y,3449,http://www.moma.org/collection/works/3449,,,,14.9225,2.3813,,,,,
Demitasse Cup and Saucer,Nikolai Suetin,5718,"(Russian, 1897–1954)",(Russian),(1897),(1954),(Male),1923,Porcelain with overglaze painted decoration,".1 (demitasse): 2 5/16 x 2 5/16"" (5.9 x 5.9 cm)
.2 (saucer): 1 x 5 9/16"" (2.5 x 14.2 cm)","Gift of Mottahedah & Co., Inc.",373.1985.1-2,Design,Architecture & Design,1985-11-18,Y,3476,http://www.moma.org/collection/works/3476,http://www.moma.org/media/W1siZiIsIjIyOTQ2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8e0518b0a25245da,,,5.8738,5.8738,,,,,
Teacup,Nikolai Suetin,5718,"(Russian, 1897–1954)",(Russian),(1897),(1954),(Male),1923,Porcelain with overglaze painted decoration,"2 3/4 x 2 3/4"" (7 x 7 cm)",Estée and Joseph Lauder Design Fund,421.1976,Design,Architecture & Design,1976-10-22,Y,3536,http://www.moma.org/collection/works/3536,http://www.moma.org/media/W1siZiIsIjIyOTU4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b2e62c396a5765f4,,,6.985,7.0,,,,,
Plate,Nikolai Suetin,5718,"(Russian, 1897–1954)",(Russian),(1897),(1954),(Male),c. 1923,Porcelain with overglaze painted decoration,"1 5/8 x 11 1/4"" (4.1 x 28.5 cm)",Estée and Joseph Lauder Design Fund,374.1985,Design,Architecture & Design,1985-11-18,Y,3695,http://www.moma.org/collection/works/3695,http://www.moma.org/media/W1siZiIsIjIyOTQ3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ec671d18a9b03ee1,,,28.5,4.1,,,,,
Saucer,Nikolai Suetin,5718,"(Russian, 1897–1954)",(Russian),(1897),(1954),(Male),1923,Porcelain with overglaze painted decoration,"1 1/8 x 5 5/8"" (2.8 x 14.3 cm)",Given anonymously,698.1959,Design,Architecture & Design,1959-10-15,Y,4230,http://www.moma.org/collection/works/4230,http://www.moma.org/media/W1siZiIsIjIzMDQ5MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b01ce9dd825b305b,,,14.2875,2.8,,,,,
Teacup and Saucer,Nikolai Suetin,5718,"(Russian, 1897–1954)",(Russian),(1897),(1954),(Male),1923,Porcelain with overglaze painted decoration,".1 (teacup): 2 1/8 x 3 5/8"" (5.4 x 9.2 cm)
.2 (saucer): 1 x 5 3/8"" (2.5 x 13.6 cm)",Gift of Andrew Raeburn,744.1983.1-2,Design,Architecture & Design,1983-11-30,Y,4439,http://www.moma.org/collection/works/4439,http://www.moma.org/media/W1siZiIsIjIzMDUzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1ac975de37e877f3,,,9.2,5.3975,,,,,
Nepobedimye,"Vladimir Stenberg, Georgii Stenberg","5642, 6965","(Russian, 1899–1982) (Russian, 1900–1933)",(Russian) (Russian),(1899) (1900),(1982) (1933),(Male) (Male),1928,Lithograph,"39 1/2 x 28"" (100 x 72 cm)",Gift of Susan Pack,37.1997,Design,Architecture & Design,1997-01-15,Y,4822,http://www.moma.org/collection/works/4822,http://www.moma.org/media/W1siZiIsIjUyNzYwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=67fc8e1cbaef7599,,,,100.0,,,72.0,,
