Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Alamillo Bridge and Cartuga Viaduct, Seville, Spain, Elevations",Santiago Calatrava,6968,"(Spanish, born 1951)",(Spanish),(1951),(0),(Male),1988,Conté crayon on tracing paper,"17 x 53 1/2"" (43.2 x 135.9 cm)",Gift of the architect,354.1996,Architecture,Architecture & Design,1996-09-25,Y,357,http://www.moma.org/collection/works/357,http://www.moma.org/media/W1siZiIsIjUyNzU2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fabf6f5a3625aec9,,,,43.2,,,135.9,,
"Lyons Airport Railroad Station, Lyons-Satolas, France, Plan and elevation",Santiago Calatrava,6968,"(Spanish, born 1951)",(Spanish),(1951),(0),(Male),1992,Color and graphite on tracing paper,"28 1/2 x 36"" (72.4 x 91.4 cm)
",Gift of the architect,355.1996,Architecture,Architecture & Design,1996-09-25,Y,359,http://www.moma.org/collection/works/359,http://www.moma.org/media/W1siZiIsIjUyNzU2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7e9b9b104fe8f988,,,,72.4,,,91.4,,
"Town Plan Project, Kobe, Japan, Site plan",Ricardo Bofill,632,"(Spanish, born 1939)",(Spanish),(1939),(0),(Male),1994,Lithograph,"22 1/4 x 30"" (56.5 x 76.2 cm)",Gift of the architect in honor of Lily Auchincloss,375.1994,Architecture,Architecture & Design,1994-09-21,Y,434,http://www.moma.org/collection/works/434,http://www.moma.org/media/W1siZiIsIjUyNzYxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=638a4cc2f6ddc985,,,,56.5,,,76.2,,
"Les Espaces d'Abraxas: Le Palacio, Le Theatre, L'Arc, Marne-la-Vallée, France, Le Palacio: elevation",Ricardo Bofill,632,"(Spanish, born 1939)",(Spanish),(1939),(0),(Male),1979,"Collage, graphite, marker, and ink on brown print","25 x 54 1/4"" (63.5 x 137.8 cm)",Marshall Cogan Purchase Fund,378.1985,Architecture,Architecture & Design,1985-11-18,Y,443,http://www.moma.org/collection/works/443,http://www.moma.org/media/W1siZiIsIjUyNDA3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e63b411b75cafc37,,,,63.5,,,137.8,,
"Les Espaces d'Abraxas: Le Palacio, Le Theatre, L'Arc, Marne-la-Vallée, France, Le Palacio: elevation",Ricardo Bofill,632,"(Spanish, born 1939)",(Spanish),(1939),(0),(Male),1979,"Collage, graphite, marker, and ink on brown print","24 3/8 x 54"" (61.9 x 137.2 cm)",Marshall Cogan Purchase Fund,379.1985,Architecture,Architecture & Design,1985-11-18,Y,447,http://www.moma.org/collection/works/447,http://www.moma.org/media/W1siZiIsIjUyNDA3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=233c4459d2b0dc10,,,,61.9,,,137.2,,
"Les Espaces d'Abraxas: Le Palacio, Le Théâtre, L'Arc, Marne-la-Vallée, France, Le Theatre and L'Arc: facade detail",Ricardo Bofill,632,"(Spanish, born 1939)",(Spanish),(1939),(0),(Male),1979,Ink and colored pencil on tracing paper,"16 3/8 x 9 3/8"" (41.6 x 23.8 cm)",Gift of Ricardo Bofill Taller de Arquitectura,380.1985,Architecture,Architecture & Design,1985-11-18,Y,451,http://www.moma.org/collection/works/451,http://www.moma.org/media/W1siZiIsIjUyNDA3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d2f9b18eb5b6cbe1,,,,41.6,,,23.8,,
"New York Tower, project, New York,  New York, Plan",Ricardo Bofill,632,"(Spanish, born 1939)",(Spanish),(1939),(0),(Male),1985,Graphite on print,"37 7/8 x 37 7/8"" (96.2 x 96.2 cm)",Gift of Ricardo Bofill Taller de Arquitectura,381.1985,Architecture,Architecture & Design,1985-11-18,Y,455,http://www.moma.org/collection/works/455,http://www.moma.org/media/W1siZiIsIjUyNDA3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4a3937ad1916da2d,,,,96.2,,,96.2,,
"New York Tower, project, New York, New York, Office plan",Ricardo Bofill,632,"(Spanish, born 1939)",(Spanish),(1939),(0),(Male),1985,Graphite on print,"37 7/8 x 37 7/8"" (96.2 x 96.2 cm)",Gift of Ricardo Bofill Taller de Arquitectura,382.1985,Architecture,Architecture & Design,1985-11-18,Y,459,http://www.moma.org/collection/works/459,http://www.moma.org/media/W1siZiIsIjUyNDA3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=24e01bf0d987e490,,,,96.2,,,96.2,,
"New York Tower, project, New York, New York, Exterior perspective",Ricardo Bofill,632,"(Spanish, born 1939)",(Spanish),(1939),(0),(Male),1985,Colored pencil on print,"37 7/8 x 37 7/8"" (96.2 x 96.2 cm)",Gift of Ricardo Bofill Taller de Arquitectura,383.1985,Architecture,Architecture & Design,1985-11-18,Y,463,http://www.moma.org/collection/works/463,http://www.moma.org/media/W1siZiIsIjUyNDA3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bfa199b0622ac39a,,,,96.2,,,96.2,,
"New York Tower, project, New York, New York, Interior perspective",Ricardo Bofill,632,"(Spanish, born 1939)",(Spanish),(1939),(0),(Male),1985,Colored pencil on print,"37 7/8 x 37 7/8"" (96.2 x 96.2 cm)",Gift of Ricardo Bofill Taller de Arquitectura,384.1985,Architecture,Architecture & Design,1985-11-18,Y,467,http://www.moma.org/collection/works/467,http://www.moma.org/media/W1siZiIsIjIyOTQ5MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6639ba774b64940e,,,,96.2,,,96.2,,
