Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Gotthard Bank, Lugano, Switzerland, Perspective",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(Male),1986,Pen and ink on paper,"37 1/4 x 37 1/4"" (94.6 x 94.6 cm)",Gift of Banca del Gottardo,206.1987,Architecture,Architecture & Design,1987-05-27,Y,258,http://www.moma.org/collection/works/258,http://www.moma.org/media/W1siZiIsIjUyNjY5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0cc169846c45e08f,,,,94.6,,,94.6,,
"Gotthard Bank, Lugano, Switzerland, Elevation",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(Male),c.1985,Colored pencil on print,"22 7/8 x 37 1/4"" (58.1 x 94.6 cm)",Gift of Banca del Gottardo,207.1987,Architecture,Architecture & Design,1987-05-27,Y,259,http://www.moma.org/collection/works/259,http://www.moma.org/media/W1siZiIsIjUyNjcwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7749a277e1f65a34,,,,58.1,,,94.6,,
"Gotthard Bank, Lugano, Switzerland, West elevation",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(Male),1985,Color pencil on print,"11 3/4 x 54 1/2"" (29.8 x 138.4 cm)",Gift of Banca del Gottardo,208.1987,Architecture,Architecture & Design,1987-05-27,Y,260,http://www.moma.org/collection/works/260,http://www.moma.org/media/W1siZiIsIjUyNjcwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6a2da245e624064c,,,,29.8,,,138.4,,
"Gotthard Bank, Lugano, Switzerland, Preliminary sketch",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(Male),Unknown,Graphite on tracing paper,"12 x 28"" (30.5 x 71.1 cm)",Gift of Banca del Gottardo,209.1987,Architecture,Architecture & Design,1987-05-27,Y,261,http://www.moma.org/collection/works/261,http://www.moma.org/media/W1siZiIsIjM0MDkiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=58c66a11bfc105a5,,,,30.5,,,71.1,,
"Gotthard Bank, Lugano, Switzerland (Preliminary sketch)",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(Male),1982–1986,Graphite on tracing paper,".1: 12 x 10 3/4"" (30.5 x 27.3 cm)
.2: 12 x 8 5/8""  (30.5 x 22 cm)",Gift of Banca del Gottardo,210.1987.1-2,Architecture,Architecture & Design,1987-05-27,Y,262,http://www.moma.org/collection/works/262,http://www.moma.org/media/W1siZiIsIjM0MDkiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=58c66a11bfc105a5,,,,30.5,,,27.3,,
"Gotthard Bank, Lugano, Switzerland (Preliminary sketch)",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(Male),1982-86,Graphite on tracing paper,"12 x 18 1/2"" (30.5 x 47 cm)",Gift of Banca del Gottardo,211.1987,Architecture,Architecture & Design,1987-05-27,Y,263,http://www.moma.org/collection/works/263,http://www.moma.org/media/W1siZiIsIjM0MDkiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=58c66a11bfc105a5,,,,30.5,,,47.0,,
"Cultural Center, Chambéry, France, East elevation",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(Male),Unknown,Colored pencil on print,"18 x 43 1/4"" (45.7 x 109.9 cm)",Gift of the architect,212.1987,Architecture,Architecture & Design,1987-05-27,Y,265,http://www.moma.org/collection/works/265,http://www.moma.org/media/W1siZiIsIjUyNjcwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6f96311cb4f6d6e8,,,,45.7,,,109.9,,
"Cultural Center, Chambéry, France, North elevation",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(Male),Unknown,Colored pencil on print,"18 x 43 1/4"" (45.7 x 109.9 cm)",Gift of the architect,213.1987,Architecture,Architecture & Design,1987-05-27,Y,267,http://www.moma.org/collection/works/267,http://www.moma.org/media/W1siZiIsIjUyNjcwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=17746ed2d3395699,,,,45.7,,,109.9,,
"Cultural Center, Chambéry, France, West elevation",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(Male),Unknown,Colored pencil on print,"18 x 43 1/4"" (45.7 x 109.9 cm)",Gift of the architect,214.1987,Architecture,Architecture & Design,1987-05-27,Y,268,http://www.moma.org/collection/works/268,http://www.moma.org/media/W1siZiIsIjUyNjcwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bb33be82208bd4cb,,,,45.7,,,109.9,,
"Cultural Center, Chambéry, France, South elevation",Mario Botta,696,"(Swiss, born 1943)",(Swiss),(1943),(0),(Male),1982-86,Colored pencil and graphite on print,"18 x 43 1/4"" (45.7 x 109.9 cm)",Gift of the architect,215.1987,Architecture,Architecture & Design,1987-05-27,Y,269,http://www.moma.org/collection/works/269,http://www.moma.org/media/W1siZiIsIjUyNjcwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=00325c108cf981e1,,,,45.7,,,109.9,,
